Time[s],DEV1_db::CSDO_001::CCS,DEV1_db::HBGuard_001::Toggle,DEV1_db::HBGuard_001::State,DEV1_db::HBGuard_008::Toggle,DEV1_db::HBGuard_008::State,DEV1_db::N8_TPDO0::Temp_2,DEV1_db::N8_TPDO0::Temp_1,DEV1_db::N8_TPDO1::Temp_4,DEV1_db::N8_TPDO1::Temp_3,DEV1_db::N8_TPDO3::Voltage_Sensor_4,DEV1_db::N8_TPDO3::Voltage_Sensor_3,DEV1_db::NMTZeroMsg::Node_ID,DEV1_db::NMTZeroMsg::CS,DEV1_db::SSDO_001::SCS
128.623600,,0,5,,,,,,,,,,,
129.043450,,,,,,,,,,123,120,,,
129.043750,,,,,,,,,,123,120,,,
130.621300,,,,0,5,,,,,,,,,
130.874700,,0,5,,,,,,,,,,,
131.410400,,,,,,7971,26633,,,,,,,
131.410750,,,,,,7971,26633,,,,,,,
131.805550,,,,,,,,7091,7580,,,,,
131.805900,,,,,,,,7091,7580,,,,,
132.595800,,,,,,,,,,125,118,,,
132.596150,,,,,,,,,,125,118,,,
133.125650,,0,5,,,,,,,,,,,
134.173500,,,,0,5,,,,,,,,,
134.962600,,,,,,37470,7482,,,,,,,
134.962950,,,,,,37470,7482,,,,,,,
135.357650,,,,,,,,7287,24776,,,,,
135.358000,,,,,,,,7287,24776,,,,,
135.376550,,0,5,,,,,,,,,,,
136.147850,,,,,,,,,,122,124,,,
136.148200,,,,,,,,,,122,124,,,
137.725550,,,,0,5,,,,,,,,,
138.514600,,,,,,7971,26731,,,,,,,
138.515000,,,,,,7971,26731,,,,,,,
138.909800,,,,,,,,7775,7287,,,,,
138.910150,,,,,,,,7775,7287,,,,,
139.700050,,,,,,,,,,120,125,,,
139.700400,,,,,,,,,,120,125,,,
139.878050,,0,5,,,,,,,,,,,
141.277800,,,,0,5,,,,,,,,,
142.067000,,,,,,38252,7384,,,,,,,
142.067350,,,,,,38252,7384,,,,,,,
142.128800,,0,5,,,,,,,,,,,
142.462050,,,,,,,,7482,23994,,,,,
143.252150,,,,,,,,,,120,122,,,
143.252450,,,,,,,,,,120,122,,,
144.379550,,0,5,,,,,,,,,,,
145.223900,,,,0,5,,,,,,,,,
146.013100,,,,,,7677,8459,,,,,,,
146.013400,,,,,,7677,8459,,,,,,,
146.408150,,,,,,,,7189,7677,,,,,
146.408500,,,,,,,,7189,7677,,,,,
146.630300,,0,5,,,,,,,,,,,
147.198450,,,,,,,,,,118,123,,,
147.198800,,,,,,,,,,118,123,,,
148.881000,,0,5,,,,,,,,,,,
149.170550,,,,0,5,,,,,,,,,
149.959650,,,,,,38154,7580,,,,,,,
149.960000,,,,,,38154,7580,,,,,,,
150.354750,,,,,,,,7482,24581,,,,,
150.355100,,,,,,,,7482,24581,,,,,
151.131850,,0,5,,,,,,,,,,,
151.145100,,,,,,,,,,127,124,,,
151.145450,,,,,,,,,,127,124,,,
153.117300,,,,0,5,,,,,,,,,
153.382900,,0,5,,,,,,,,,,,
153.906350,,,,,,7873,8068,,,,,,,
153.906600,,,,,,7873,8068,,,,,,,
154.301400,,,,,,,,7971,7873,,,,,
154.301750,,,,,,,,7971,7873,,,,,
155.091650,,,,,,,,,,127,129,,,
155.092000,,,,,,,,,,127,129,,,
155.633800,,0,5,,,,,,,,,,,
157.063650,,,,0,5,,,,,,,,,
157.852700,,,,,,38154,7677,,,,,,,
157.853100,,,,,,38154,7677,,,,,,,
157.884800,,0,5,,,,,,,,,,,
158.247800,,,,,,,,7971,24776,,,,,
158.248150,,,,,,,,7971,24776,,,,,
159.038450,,,,,,,,,,127,127,,,
160.135700,,0,5,,,,,,,,,,,
161.010150,,,,0,5,,,,,,,,,
161.405150,,,,,,25069,7971,,,,,,,
161.405450,,,,,,25069,7971,,,,,,,
161.800150,,,,,,,,8166,7677,,,,,
161.800550,,,,,,,,8166,7677,,,,,
162.386450,,0,5,,,,,,,,,,,
162.590400,,,,,,,,,,126,130,,,
162.590750,,,,,,,,,,126,130,,,
164.562350,,,,0,5,,,,,,,,,
